YazilimID;YazilimAdi;Kategori;SorumluDepartman;TeknikSorumlu;LisansTuru;LisansYenilemeTarihi;KullanimAmaciAciklamasi;Alternatifler
1001;Figma;Tasarım;Pazarlama;Elif K.;Kullanıcı Başına Yıllık;15.12.2025;UI/UX ekiplerinin web ve mobil arayüz prototipleri oluşturması, paylaşıp geri bildirim toplaması için kullanılır.;Adobe XD, Sketch
1002;Adobe Photoshop;Tasarım;Pazarlama;Elif K.;Kullanıcı Başına Yıllık;1.09.2025;Görsel tasarım, fotoğraf düzenleme ve kurumsal kimlik materyallerinin hazırlanması için kullanılır.;Affinity Photo, GIMP
1003;Canva Pro;Tasarım;Kurumsal İletişim;Zeynep Ç.;Kullanıcı Başına Aylık;1.11.2025;Sosyal medya içerikleri, sunumlar ve infografiklerin hızlıca tasarlanması için kullanılır.;VistaCreate, Piktochart
1004;Jira Software;Proje Yönetimi;Ürün Yönetimi;IT Destek Ekibi;Kullanıcı Başına Yıllık;10.07.2025;Agile sprint planlama, backlog yönetimi ve hata takibi için kullanılır.;Asana, Trello
1005;Confluence;Bilgi Yönetimi;Ürün Yönetimi;IT Destek Ekibi;Kullanıcı Başına Yıllık;10.07.2025;Kurumsal bilgi tabanı, prosedürler ve proje dokümantasyonlarının tutulduğu platformdur.;Notion, Google Docs
1006;Asana;Proje Yönetimi;Operasyon;Deniz K.;Kullanıcı Başına Yıllık;30.06.2025;Departmanlar arası görev paylaşımı, proje takibi ve ilerleme raporlaması için kullanılır.;Jira, Monday.com
1007;Slack;İletişim;Tüm Departmanlar;BT Operasyon Ekibi;Kullanıcı Başına Yıllık;20.08.2025;Ekip içi iletişim, dosya paylaşımı ve entegrasyonlu kanal bazlı çalışma ortamı sunar.;Microsoft Teams, Google Chat
1008;Zoom;İletişim;İnsan Kaynakları;BT Operasyon Ekibi;Kullanıcı Başına Yıllık;30.04.2025;Uzaktan toplantılar, görüşmeler ve webinarlar için kullanılır.;Google Meet, Cisco Webex
1009;Salesforce Sales Cloud;CRM;Satış;Murat D.;Kullanıcı Başına Yıllık;1.10.2025;Müşteri ilişkileri, satış pipeline’ı ve tahminleme süreçlerinin yönetimi için kullanılır.;HubSpot, Zoho CRM
1010;HubSpot Marketing Hub;CRM;Pazarlama;Zeynep Ç.;Kullanıcı Başına Yıllık;1.10.2025;E-posta pazarlama, müşteri segmentasyonu ve otomatik kampanyalar için kullanılır.;Mailchimp, ActiveCampaign
1011;GitHub Enterprise;Geliştirici Araçları;Teknoloji;Ahmet Y.;Kullanıcı Başına Yıllık;15.06.2025;Kod versiyonlama, repository yönetimi ve CI/CD entegrasyonları için kullanılır.;GitLab, Bitbucket
